ticker,cnpj,nome,segmento,classe,frac_imoveis
000011,36.501.249/0001-28,LWTC FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,2.25
00DX11,26.191.053/0001-20,FII GOLDEN WEST,Tijolo (outros),tijolo,2.02
00MM11,22.081.808/0001-83,BRAZIL PROPERTIES INVEST FUNDO DE INVESTIMENTO I,Tijolo (outros),tijolo,2.02
018C11,30.871.660/0001-09,CLASSE A DO VBI ULIVING MULTICLASSE FII RESP LIM,Tijolo (outros),tijolo,2.03
01W411,30.258.790/0001-70,PRAZO FII - RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,2.2
026W11,31.547.782/0001-07,AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,0.92
045A11,23.781.211/0001-04,FII NORTHWEST,Tijolo (outros),tijolo,2.28
05KX11,35.765.889/0001-82,JACARANDÁ FUNDO DE INVESTIMENTO IMOBILIÁRIO.,Tijolo (outros),tijolo,0.7
06X411,36.200.654/0001-06,VINCI FULWOOD DESENV LOGÍSTICO FUNDO DE INVEST I,Logística,hibrido,0.28
0A1T11,30.091.506/0001-14,NOVA IGUACU FII RL,Tijolo (outros),tijolo,1.97
0AJU11,42.537.540/0001-59,BRICK 80 FII RL,Tijolo (outros),tijolo,2.16
0BLF11,41.969.521/0001-39,EVORIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.01
0BZC11,44.728.520/0001-90,HIGH END REAL ESTATE FUNDO DE INVESTIMENTO IMOBI,Tijolo (outros),tijolo,2.31
0C4211,45.063.985/0001-32,FII ARTEMIS 20222,Tijolo (outros),tijolo,2.53
0CNP11,43.617.647/0001-70,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BIOTIC,Tijolo (outros),tijolo,2.0
0CWF11,41.776.296/0001-14,LUCERNA FUNDO DE INVESTIMENTO IMOBILIÁRIOS,Tijolo (outros),tijolo,1.96
0DFM11,47.154.849/0001-83,PROPP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,0.71
0DWK11,22.646.161/0001-90,IZAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Tijolo (outros),tijolo,1.5
0E0711,47.102.860/0001-08,FII ATIVOS EM SAÚDE - SAUD,Renda/Especial,tijolo,2.01
0E9L11,47.896.665/0001-99,FII CAPITÂNIA SHOPP,Tijolo (outros),tijolo,0.87
0EHW11,44.002.561/0001-03,TORINO FDO INVEST IMOB RESP LTDA,Tijolo (outros),tijolo,2.16
