cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
18414,,PADTEC HOLDING S.A.,--,Comunicacao,Emp. Adm. Part. - Telecomunicações,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,02.365.069/0001-44,,PRIVADO,CAMPINAS,SP,1998,1999,RSM BRASIL AUDITORES INDEPENDENTES LTDA.
16284,524 PARTICIPACOES,524 PARTICIPAÇOES SA,524 PARTICIPACOES SA,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,01.851.771/0001-55,,PRIVADO,RIO DE JANEIRO,RJ,1997,1997,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
23396,AEGEA,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,Utilities,"Saneamento, Serv. Água e Gás",Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,08.827.501/0001-58,,PRIVADO HOLDING,SÃO PAULO,SP,2007,2014,KPMG AUDITORES INDEPENDENTES LTDA.
25283,AERIS,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,,Industria,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,12.528.708/0001-07,AERI3,PRIVADO,CAUCAIA,CE,2020,2020,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
22179,AFLUENTE TRANSMISSÃO,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,Utilities,Energia Elétrica,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,10.338.320/0001-00,,PRIVADO HOLDING,RIO DE JANEIRO,RJ,2008,2010,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25658,AGROGALAXY (RJ),AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,3.0,21.240.146/0001-84,AGXY3,PRIVADO,GOIÂNIA,GO,2014,2021,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
23442,AGUAS GUARIROBA,AGUAS GUARIROBA S.A.,AGUAS GUARIROBA S.A,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,04.089.570/0001-50,,PRIVADO,CAMPO GRANDE,MS,2000,2014,KPMG AUDITORES INDEPENDENTES LTDA.
25194,ALARES,ALARES INTERNET PARTICIPAÇÕES S/A,,Comunicacao,Emp. Adm. Part. - Telecomunicações,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,23.438.929/0001-00,,PRIVADO,SÃO PAULO,SP,2015,2020,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
16705,ALEF,YBYRA CAPITAL S.A,ALEF S/A,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,02.217.319/0001-07,,PRIVADO,SÃO PAULO,SP,1997,1997,SÊNIOR AUDITORES INDEPENDENTES S/S
12823,ALIPERTI,ALIPERTI S.A.,ALIPERTI S.A.,Materiais,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,61.156.931/0001-78,,PRIVADO,SÃO PAULO,SP,1924,1986,GF AUDITORES INDEPENDENTES
