ticker,nome,setor_gics,indice
A,Agilent Technologies,Health Care,500
AA,Alcoa,Materials,400
AAL,American Airlines Group,Industrials,400
AAMI,Acadian Asset Management Inc.,Financials,600
AAON,AAON,Industrials,400
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,600
AAPL,Apple Inc.,Information Technology,500
AAT,American Assets Trust,Real Estate,600
ABBV,AbbVie,Health Care,500
ABCB,Ameris Bancorp,Financials,600
ABG,Asbury Automotive Group,Consumer Discretionary,600
ABM,"ABM Industries, Inc.",Industrials,600
ABNB,Airbnb,Consumer Discretionary,500
ABR,Arbor Realty Trust,Financials,600
ABT,Abbott Laboratories,Health Care,500
ACA,"Arcosa, Inc.",Industrials,600
ACAD,Acadia Pharmaceuticals,Health Care,600
ACGL,Arch Capital Group,Financials,500
ACHC,Acadia Healthcare,Health Care,600
ACI,Albertsons,Consumer Staples,400
ACIW,ACI Worldwide,Information Technology,600
ACLS,"Axcelis Technologies, Inc.",Information Technology,600
ACM,AECOM,Industrials,400
ACMR,"ACM Research, Inc.",Information Technology,600
ACN,Accenture,Information Technology,500
ACT,"Enact Holdings, Inc.",Financials,600
ADAM,"Adamas Trust, Inc.",Real Estate,600
ADBE,Adobe Inc.,Information Technology,500
ADC,Agree Realty,Real Estate,400
ADEA,"Adeia, Inc.",Information Technology,600
ADI,Analog Devices,Information Technology,500
ADM,Archer Daniels Midland,Consumer Staples,500
ADMA,"ADMA Biologics, Inc.",Health Care,600
ADNT,Adient,Consumer Discretionary,600
ADP,Automatic Data Processing,Industrials,500
ADSK,Autodesk,Information Technology,500
ADT,ADT Inc.,Consumer Discretionary,600
ADUS,Addus HomeCare Corp.,Health Care,600
AEE,Ameren,Utilities,500
AEIS,Advanced Energy,Information Technology,400
AEO,American Eagle Outfitters,Consumer Discretionary,600
AEP,American Electric Power,Utilities,500
AES,AES Corporation,Utilities,500
AESI,"Atlas Energy Solutions, Inc.",Energy,600
AFG,American Financial Group,Financials,400
AFL,Aflac,Financials,500
AGCO,AGCO,Industrials,400
AGNT,"eXp World Holdings, Inc.",Real Estate,600
AGO,Assured Guaranty Ltd.,Financials,600
AGX,"Argan, Inc.",Industrials,600
AGYS,"Agilysys, Inc.",Information Technology,600
AHCO,AdaptHealth Corp.,Health Care,600
AHR,American Healthcare REIT,Real Estate,400
AIG,American International Group,Financials,500
AIN,Albany International Corp.,Industrials,600
AIR,AAR CORP.,Industrials,600
AIT,Applied Industrial Technologies,Industrials,400
AIZ,Assurant,Financials,500
AJG,Arthur J. Gallagher & Co.,Financials,500
AKAM,Akamai Technologies,Information Technology,500
AKR,Acadia Realty Trust,Real Estate,600
ALB,Albemarle Corporation,Materials,500
ALG,Alamo Group,Industrials,600
ALGM,Allegro MicroSystems,Information Technology,400
ALGN,Align Technology,Health Care,500
ALGT,Allegiant Travel Company,Industrials,600
ALHC,"Alignment Healthcare, Inc.",Health Care,600
ALK,Alaska Air Group,Industrials,400
ALKS,Alkermes plc,Health Care,600
ALL,Allstate,Financials,500
ALLE,Allegion,Industrials,500
ALLY,Ally Financial,Financials,400
ALRM,"Alarm.Com, Inc.",Financials,600
ALV,Autoliv,Consumer Discretionary,400
AM,Antero Midstream,Energy,400
AMAT,Applied Materials,Information Technology,500
AMCR,Amcor,Materials,500
AMD,Advanced Micro Devices,Information Technology,500
AME,Ametek,Industrials,500
AMG,Affiliated Managers Group,Financials,400
AMGN,Amgen,Health Care,500
AMH,American Homes 4 Rent,Real Estate,400
AMKR,Amkor Technology,Information Technology,400
AMN,"Amn Healthcare Services, Inc.",Health Care,600
AMP,Ameriprise Financial,Financials,500
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,600
AMR,"Alpha Metallurgical Resources, Inc.",Materials,600
AMRX,Amneal Pharmaceuticals,Health Care,600
AMSF,"Amerisafe, Inc.",Financials,600
AMT,American Tower,Real Estate,500
AMTM,Amentum,Industrials,600
AMZN,Amazon,Consumer Discretionary,500
AN,AutoNation,Consumer Discretionary,400
ANDE,"The Andersons, Inc.",Consumer Staples,600
ANET,Arista Networks,Information Technology,500
ANF,Abercrombie & Fitch,Consumer Discretionary,400
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,600
AON,Aon plc,Financials,500
AORT,Artivion,Health Care,600
AOS,A. O. Smith,Industrials,500
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,600
APA,APA Corporation,Energy,500
APAM,"Artisan Partners Asset Management, Inc.",Financials,600
APD,Air Products,Materials,500
APG,APi Group,Industrials,400
APH,Amphenol,Information Technology,500
APLE,"Apple Hospitality REIT, Inc.",Real Estate,600
APO,Apollo Global Management,Financials,500
APOG,"Apogee Enterprises, Inc.",Industrials,600
APP,AppLovin,Information Technology,500
APPF,AppFolio,Information Technology,400
APTV,Aptiv,Consumer Discretionary,500
AR,Antero Resources,Energy,400
ARCB,ArcBest Corp.,Industrials,600
ARE,Alexandria Real Estate Equities,Real Estate,500
ARES,Ares Management,Financials,500
ARI,Apollo Commercial Real Estate Finance,Real Estate,600
ARLO,Arlo Technologies,Information Technology,600
ARMK,Aramark,Consumer Discretionary,400
AROC,"Archrock, Inc.",Energy,600
ARR,Armour Residential REIT,Real Estate,600
ARW,Arrow Electronics,Information Technology,400
ARWR,Arrowhead Pharmaceuticals,Health Care,400
ASB,Associated Bank,Financials,400
ASH,Ashland Global,Materials,400
ASO,Academy Sports + Outdoors,Consumer Discretionary,600
ASTE,"Astec Industries, Inc.",Industrials,600
ASTH,"Astrana Health, Inc.",Health Care,600
ATEN,"A10 Networks, Inc.",Information Technology,600
ATI,ATI Inc.,Industrials,400
ATMU,Atmus Filtration Technologies Inc.,Industrials,600
ATO,Atmos Energy,Utilities,500
ATR,AptarGroup,Materials,400
AUB,"Atlantic Union Bankshares, Corp.",Financials,600
AVA,Avista Corporation,Utilities,600
AVAV,AeroVironment,Industrials,400
AVB,AvalonBay Communities,Real Estate,500
AVGO,Broadcom,Information Technology,500
AVNS,"Avanos Medical, Inc.",Health Care,600
AVNT,Avient,Materials,400
AVT,Avnet,Information Technology,400
AVTR,Avantor,Health Care,400
AVY,Avery Dennison,Materials,500
AWI,"Armstrong World Industries, Inc.",Industrials,600
AWK,American Water Works,Utilities,500
AWR,American States Water Company,Utilities,600
AX,"Axos Financial, Inc.",Financials,600
AXON,Axon Enterprise,Industrials,500
AXP,American Express,Financials,500
AXTA,Axalta,Materials,400
AYI,Acuity Brands,Industrials,400
AZO,AutoZone,Consumer Discretionary,500
AZTA,"Azenta, Inc.",Health Care,600
AZZ,"AZZ, Inc.",Industrials,600
BA,Boeing,Industrials,500
BAC,Bank of America,Financials,500
BAH,Booz Allen Hamilton,Industrials,400
BALL,Ball Corporation,Materials,500
BANC,"Banc Of California, Inc.",Financials,600
BANF,Bancfirst Corp,Financials,600
BANR,Banner Corporation,Financials,600
BAX,Baxter International,Health Care,500
BBT,Beacon Financial Corp.,Financials,600
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,400
BBY,Best Buy,Consumer Discretionary,500
BC,Brunswick,Consumer Discretionary,400
BCC,Boise Cascade,Industrials,600
BCO,Brink's,Industrials,400
BCPC,Balchem Corporation,Materials,600
BDC,Belden Inc.,Information Technology,400
BDX,Becton Dickinson,Health Care,500
BEN,Franklin Resources,Financials,500
BF-B,Brown–Forman,Consumer Staples,500
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,600
BFH,"Bread Financial Holdings, Inc.",Financials,600
BFS,"Saul Centers, Inc.",Real Estate,600
BG,Bunge Global,Consumer Staples,500
BGC,"BGC Group, Inc.",Financials,600
BHE,"Benchmark Electronics, Inc.",Information Technology,600
BHF,Brighthouse Financial,Financials,400
BIIB,Biogen,Health Care,500
BILL,Bill Holdings,Information Technology,400
BIO,Bio-Rad Laboratories,Health Care,400
BJ,BJ's Wholesale Club,Consumer Staples,400
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,600
BKE,"The Buckle, Inc.",Consumer Discretionary,600
BKH,Black Hills Corporation,Utilities,400
BKNG,Booking Holdings,Consumer Discretionary,500
BKR,Baker Hughes,Energy,500
BKU,"BankUnited, Inc.",Financials,600
BL,"BlackLine Systems, Inc.",Information Technology,600
BLD,TopBuild Corp.,Consumer Discretionary,400
BLDR,Builders FirstSource,Industrials,500
BLFS,"BioLife Solutions, Inc.",Health Care,600
BLK,BlackRock,Financials,500
BLKB,Blackbaud,Information Technology,400
BMI,"Badger Meter, Inc.",Information Technology,600
BMRN,BioMarin Pharmaceutical,Health Care,400
BMY,Bristol Myers Squibb,Health Care,500
BNL,"Broadstone Net Lease, Inc.",Real Estate,600
BNY,BNY Mellon,Financials,500
BOH,Bank of Hawaii,Financials,600
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,600
BOX,"Box, Inc.",Information Technology,600
BR,Broadridge Financial Solutions,Industrials,500
BRBR,BellRing Brands,Consumer Staples,400
